,P1eff,P2eff,P3eff,P4eff,P5eff,SSP1,SSP2,SSP3,SSP4,SSP5,cc,tri,elev,For_Evergr,cell_id
134,36,36,36,36,12,P1,P2,P3,P4,P5,39.46406872,1.805882353,1322.957066,0.292,118
135,36,36,36,36,26,P1,P2,P3,P4,P5,44.31002721,3.56138009,1224.175221,0.158,118
136,36,18,0,0,0,P1,P2,P3,P4,P5,55.96716855,3.452015182,1371.937722,0.804,119
137,36,22,0,0,0,P1,P2,P3,P4,P5,60.47550251,1.766988975,1336.354317,0.991,120
138,36,36,2,0,0,P1,P2,P3,P4,P5,60.46437552,3.858191759,1256.159011,1,120
139,36,36,36,36,24,P1,P2,P3,P4,P5,49.16202638,1.725329839,1780.615929,0.998,121
140,36,36,7,0,0,P1,P2,P3,P4,P5,58.05014687,1.102589011,1720.012456,1,121
141,36,36,36,36,22,P1,P2,P3,P4,P5,69.91481326,2.167856497,1609.5,0.989,124
142,36,36,36,36,9,P1,P2,P3,P4,P5,81.9880803,2.601075366,1407.5125,0.996,124
143,0,26,36,36,36,P1,P2,P3,P4,P5,49.01149906,1.850149646,1574.086116,0.756,125
144,36,36,36,20,0,P1,P2,P3,P4,P5,74.24524357,2.585455703,1570.884007,0.992,127
145,36,36,36,20,0,P1,P2,P3,P4,P5,73.9047918,3.165031789,1553.985841,1,127
146,36,36,36,18,0,P1,P2,P3,P4,P5,76.78465398,2.618041659,1372.640569,0.994,128
147,36,36,36,36,17,P1,P2,P3,P4,P5,84.08049341,1.917630716,832.5571429,1,129
148,36,36,36,36,24,P1,P2,P3,P4,P5,86.68987871,2.119716706,772.1443662,0.998,129
149,36,36,36,0,0,P1,P2,P3,P4,P5,86.43335426,1.26825433,1240.721925,0.94,130
150,36,36,36,12,0,P1,P2,P3,P4,P5,84.65017816,2.030526172,1150.623675,0.996,130
151,36,36,36,6,0,P1,P2,P3,P4,P5,84.28389121,2.599109589,815.9178571,0.994,131
152,36,36,36,6,0,P1,P2,P3,P4,P5,85.5195484,2.193899434,837.6546763,1,131
153,36,36,36,6,0,P1,P2,P3,P4,P5,84.13798157,2.307210748,777.5953654,0.886,132
154,36,36,30,0,0,P1,P2,P3,P4,P5,72.6220456,1.388675799,944.616341,0.944,133
155,36,36,36,0,0,P1,P2,P3,P4,P5,86.21743676,1.565618717,765.6187943,0.994,134
156,36,36,36,0,0,P1,P2,P3,P4,P5,87.25943001,1.708462804,811.8280142,1,134
157,36,36,36,0,0,P1,P2,P3,P4,P5,81.16142558,1.178532261,860.4139785,0.789,135
158,36,36,30,0,0,P1,P2,P3,P4,P5,80.86424675,0.852243648,799.6975089,0.897,135
159,36,36,36,6,0,P1,P2,P3,P4,P5,86.45367078,3.116398978,1000.15873,0.975,136
160,36,36,30,12,0,P1,P2,P3,P4,P5,88.60854093,2.451656324,1054.396797,0.998,136
161,36,36,36,1,0,P1,P2,P3,P4,P5,80.35585397,1.219223744,1072.123214,1,137
162,36,36,36,0,0,P1,P2,P3,P4,P5,86.5663606,1.831073059,1020.955986,0.989,137
163,36,36,36,0,0,P1,P2,P3,P4,P5,63.22401509,1.336712329,747.6511628,0.549,138
164,36,36,36,2,0,P1,P2,P3,P4,P5,78.34526051,0.983401826,772.6535714,1,138
165,36,36,16,0,0,P1,P2,P3,P4,P5,82.1080402,1.161641465,1317.52415,0.897,140
166,50,48,51,48,0,P1,P2,P3,P4,P5,77.26620661,4.432341957,1132.164021,0.962,140
167,36,36,36,14,0,P1,P2,P3,P4,P5,68.55906335,0.814697577,1299.9627,0.92,142
168,36,36,36,12,0,P1,P2,P3,P4,P5,79.48881455,0.656563126,1274.322638,0.996,142
169,36,36,30,0,0,P1,P2,P3,P4,P5,62.56434401,2.087525014,1370.357651,0.968,144
170,36,36,36,21,0,P1,P2,P3,P4,P5,76.06815806,1.27314899,1375.197158,0.979,144
171,36,36,36,14,0,P1,P2,P3,P4,P5,61.37460782,2.134346007,1462.335125,0.715,145
172,36,36,36,20,0,P1,P2,P3,P4,P5,75.67070876,3.201132436,1413.356631,0.966,145
173,0,33,36,32,36,P1,P2,P3,P4,P5,34.83298363,0.371293433,1976.561837,0.66,146
174,0,32,36,36,36,P1,P2,P3,P4,P5,39.29192806,0.748249045,2009.98579,0.744,146
175,36,36,36,8,0,P1,P2,P3,P4,P5,56.15178758,2.065760771,1581.456637,0.79,148
176,36,36,36,18,0,P1,P2,P3,P4,P5,67.99958168,2.738615706,1525.647585,0.92,148
177,36,36,36,36,13,P1,P2,P3,P4,P5,79.52284158,3.010437466,1306.322064,0.922,149
178,36,36,36,36,20,P1,P2,P3,P4,P5,74.33912497,3.362747323,1322.982238,0.735,149
179,36,36,36,12,0,P1,P2,P3,P4,P5,89.8863779,3.129606099,710.7423423,0.975,150
180,36,36,36,12,0,P1,P2,P3,P4,P5,71.58071936,2.586018334,972.6192171,0.41,151
181,36,36,36,8,0,P1,P2,P3,P4,P5,68.01005657,2.958613178,872.8938053,0.237,151
182,36,36,36,17,0,P1,P2,P3,P4,P5,87.22503663,2.834430024,991.3642857,0.85,152
183,36,36,36,14,0,P1,P2,P3,P4,P5,84.91614256,3.075626248,1002.638298,0.894,152
184,36,36,36,27,0,P1,P2,P3,P4,P5,68.41855109,1.811490289,1428.577265,0.972,153
185,36,36,36,36,21,P1,P2,P3,P4,P5,78.33814304,3.197926121,1337.141071,0.949,153
186,36,36,36,36,24,P1,P2,P3,P4,P5,74.33124216,1.528203848,1540.260563,1,154
187,36,36,29,12,0,P1,P2,P3,P4,P5,80.56120527,2.264657833,1496.869027,0.983,154
188,36,36,36,36,0,P1,P2,P3,P4,P5,58.13155686,1.053979851,1629.444248,0.911,155
189,36,36,36,36,4,P1,P2,P3,P4,P5,59.51589293,0.68199764,1654.580071,1,155
190,36,36,36,12,0,P1,P2,P3,P4,P5,49.30822348,1.699877473,1736.040564,0.733,156
191,36,36,36,12,0,P1,P2,P3,P4,P5,48.8876334,1.541863315,1701.617594,0.538,156
192,0,32,36,36,36,P1,P2,P3,P4,P5,59.76594855,2.142539481,1696.669627,0.974,157
193,0,32,36,36,36,P1,P2,P3,P4,P5,61.18293958,1.643084044,1824.584071,0.972,157
194,0,32,36,36,36,P1,P2,P3,P4,P5,66.46644365,2.163232892,1642.358792,0.998,158
195,0,31,31,22,10,P1,P2,P3,P4,P5,67.57490558,2.018356326,1752.785461,1,158
196,0,32,36,36,36,P1,P2,P3,P4,P5,64.32060428,1.633185199,1390.775401,0.919,159
197,0,32,36,36,36,P1,P2,P3,P4,P5,60.67818982,0.894181934,1519.941799,0.996,159
198,36,36,36,24,0,P1,P2,P3,P4,P5,56.18983901,1.871006535,1668.710432,0.994,161
199,36,36,36,36,17,P1,P2,P3,P4,P5,54.65377378,1.824188282,1710.866071,0.968,161
200,36,36,36,36,5,P1,P2,P3,P4,P5,52.80880503,1.59931072,1764.019366,0.906,162
201,36,36,36,36,18,P1,P2,P3,P4,P5,45.79849341,0.766098313,1837.062057,0.951,162
202,36,36,36,36,10,P1,P2,P3,P4,P5,51.38786611,1.639239071,1686.732143,0.816,163
203,36,36,36,36,8,P1,P2,P3,P4,P5,46.60242729,1.096159079,1704.062724,0.771,163
204,0,0,0,4,0,P1,P2,P3,P4,P5,71.60393552,1.780700163,1534.905861,0.989,164
205,36,36,36,21,0,P1,P2,P3,P4,P5,82.49015913,3.382368946,1434.263345,0.822,164
206,36,36,36,10,0,P1,P2,P3,P4,P5,64.60234163,2.181158105,1203.982206,0.887,165
207,36,36,36,18,0,P1,P2,P3,P4,P5,79.21217828,2.427754583,1201.87234,0.906,165
208,36,36,36,12,0,P1,P2,P3,P4,P5,55.33577253,3.079766008,1244.745946,0.123,166
209,36,18,0,0,0,P1,P2,P3,P4,P5,68.94787524,2.681910938,1225.613475,0.441,166
210,36,36,36,18,0,P1,P2,P3,P4,P5,65.19677284,1.710870944,1622.201068,0.6,167
211,36,36,36,3,0,P1,P2,P3,P4,P5,67.7832564,2.000022657,1576.343525,0.885,167
212,36,36,36,12,0,P1,P2,P3,P4,P5,78.95,2.129262652,1456.285714,0.974,168
213,36,36,36,18,0,P1,P2,P3,P4,P5,66.60715032,1.72868674,1448.344523,0.705,168
214,36,36,36,17,0,P1,P2,P3,P4,P5,60.14530988,1.617545768,1447.73227,0.991,169
215,36,36,36,22,0,P1,P2,P3,P4,P5,61.71539105,1.829028457,1415.014159,1,169
216,36,36,36,36,0,P1,P2,P3,P4,P5,66.24003357,1.687488663,1600.102473,1,173
217,36,36,36,36,0,P1,P2,P3,P4,P5,58.74472089,2.330808997,1540.930851,0.976,173
218,0,18,0,0,0,P1,P2,P3,P4,P5,61.01633166,1.171322329,1532.730496,0.998,176
219,0,32,36,36,36,P1,P2,P3,P4,P5,48.33933054,1.850988572,1537.157801,1,176
220,0,26,36,36,36,P1,P2,P3,P4,P5,26.98557391,3.383111292,1778.159858,0.508,177
221,0,26,36,36,36,P1,P2,P3,P4,P5,35.22161823,2.009697299,1816.051237,0.592,177
222,0,32,36,36,36,P1,P2,P3,P4,P5,50.40163078,2.203960486,1408.802817,0.755,178
223,0,32,36,36,36,P1,P2,P3,P4,P5,65.3008572,2.716353997,1389.75,0.919,178
224,36,18,0,0,0,P1,P2,P3,P4,P5,83.04549249,1.862502264,1388.676732,1,179
225,36,36,36,36,20,P1,P2,P3,P4,P5,37.47296731,3.000724506,1112.503597,0.234,181
226,36,36,36,36,25,P1,P2,P3,P4,P5,47.52624974,2.390939141,1228.68717,0.405,181
227,36,36,36,36,18,P1,P2,P3,P4,P5,55.69853556,1.980113122,1663.70318,0.951,182
228,36,36,36,36,22,P1,P2,P3,P4,P5,42.04245086,2.136425339,1637.892416,0.758,182
229,36,36,36,36,13,P1,P2,P3,P4,P5,68.57044025,2.710746606,1451.247331,1,183
230,36,36,36,36,8,P1,P2,P3,P4,P5,62.98367176,3.335859729,1501.964539,0.966,183
231,36,36,36,36,22,P1,P2,P3,P4,P5,52.95396526,1.802488688,1713.123675,0.922,184
232,36,36,36,36,22,P1,P2,P3,P4,P5,55.40398323,2.19739819,1752.572438,0.936,184
233,36,32,0,0,0,P1,P2,P3,P4,P5,70.30313808,2.023914027,1637.035651,0.985,186
234,36,12,0,0,0,P1,P2,P3,P4,P5,64.8623431,1.335882353,1738.161062,0.983,186
235,36,36,0,0,0,P1,P2,P3,P4,P5,60.51675042,3.186696833,1247.562278,0.951,187
236,36,18,0,0,0,P1,P2,P3,P4,P5,63.84579929,3.444117647,1281.678508,0.996,187
237,0,26,36,36,36,P1,P2,P3,P4,P5,63.93665064,2.292285068,1713.423971,0.991,189
238,0,26,36,36,36,P1,P2,P3,P4,P5,45.99121339,1.786538462,1785.024735,0.836,189
239,0,20,36,36,36,P1,P2,P3,P4,P5,38.84557439,1.161855204,1868.476274,0.872,191
240,0,20,36,36,36,P1,P2,P3,P4,P5,45.26289308,1.388122172,1858.087034,0.981,191
241,36,36,6,0,0,P1,P2,P3,P4,P5,60.67085954,1.129457014,1265.297153,0.932,192
242,36,21,0,0,0,P1,P2,P3,P4,P5,75.912189,2.344004341,1455.323322,1,192
243,36,36,36,36,24,P1,P2,P3,P4,P5,41.40393059,1.30324869,1825.936396,0.865,193
244,36,36,36,36,18,P1,P2,P3,P4,P5,47.7361809,1.641695283,1796.877876,0.879,193
245,36,36,36,36,14,P1,P2,P3,P4,P5,33.62463404,1.798549611,1560.440141,0.801,195
246,36,36,36,36,14,P1,P2,P3,P4,P5,33.28084483,1.109321345,1593.163701,0.853,195
247,36,36,36,36,22,P1,P2,P3,P4,P5,65.42222222,2.406538044,1342.525939,0.991,197
248,0,0,6,0,2,P1,P2,P3,P4,P5,72.61461168,1.686539852,1359.921708,0.947,197
249,36,36,12,0,0,P1,P2,P3,P4,P5,65.03688181,1.530656967,1262.272401,0.977,199
