,P1,P2,P3,P4,P5
630,1,0,1,1,0
631,1,0,1,1,1
632,0,0,0,0,NA
633,0,0,0,0,NA
634,0,0,0,0,NA
635,0,0,0,0,NA
636,0,0,0,0,0
637,1,1,1,0,0
638,0,0,0,0,0
639,0,1,1,0,0
640,0,0,0,0,NA
641,1,0,0,0,NA
642,0,0,0,0,NA
643,0,0,0,0,NA
644,1,0,0,0,NA
645,0,0,0,0,NA
646,1,1,1,1,NA
647,1,1,1,1,NA
648,1,0,0,0,NA
649,1,1,1,0,NA
650,0,0,0,0,NA
651,0,0,0,0,NA
652,1,1,0,0,NA
653,1,1,1,1,NA
654,1,1,1,1,NA
655,1,1,1,0,NA
656,0,0,0,0,NA
657,0,0,0,NA,NA
658,0,0,0,NA,NA
659,0,0,0,NA,NA
660,0,0,0,0,NA
661,0,0,0,0,NA
662,0,0,0,0,NA
663,0,0,0,0,NA
664,0,0,0,0,NA
665,1,1,0,1,NA
666,0,0,0,0,NA
667,0,0,0,0,NA
668,0,0,0,0,NA
669,0,0,0,0,NA
670,0,0,0,0,NA
671,1,0,0,0,NA
672,1,1,0,0,NA
673,1,1,1,1,NA
674,1,0,1,1,NA
675,1,0,0,1,NA
676,1,1,0,0,0
677,0,1,0,0,0
678,1,1,1,NA,NA
679,1,1,1,NA,NA
680,0,0,0,NA,NA
681,0,0,0,NA,NA
682,0,0,0,NA,NA
683,0,0,0,NA,NA
684,1,1,1,0,0
685,1,1,1,1,0
686,1,1,1,0,0
687,1,1,1,0,0
688,0,0,NA,NA,NA
689,0,0,NA,NA,NA
690,1,1,1,NA,NA
691,1,1,1,NA,NA
692,1,0,0,1,0
693,0,1,1,1,0
694,0,0,NA,NA,NA
695,0,0,NA,NA,NA
696,0,0,0,NA,NA
697,0,0,0,NA,NA
698,0,0,0,0,0
699,1,0,0,0,0
700,1,1,0,0,0
701,1,1,1,1,1
702,1,1,1,0,0
703,1,1,1,0,0
704,0,0,NA,NA,NA
705,1,1,NA,NA,NA
706,0,0,0,NA,NA
707,0,0,0,NA,NA
708,0,0,0,0,0
709,0,0,0,0,0
710,0,0,0,0,0
711,0,0,0,0,0
712,1,1,1,0,0
713,1,1,0,1,0
714,1,0,0,0,0
715,1,1,0,1,1
716,0,0,NA,NA,NA
717,0,0,0,0,0
718,1,1,0,0,0
719,1,1,1,0,NA
720,1,1,1,1,NA
721,1,1,1,0,NA
722,0,0,0,0,0
723,0,0,0,0,0
724,0,0,0,0,0
725,0,0,0,0,0
726,1,1,0,NA,NA
727,0,0,0,0,NA
728,1,1,1,1,NA
729,1,1,1,0,NA
730,0,0,0,0,0
731,0,0,0,0,0
732,1,0,0,NA,NA
733,0,0,0,NA,NA
734,0,0,0,NA,NA
735,1,1,1,1,0
736,1,1,1,0,0
737,1,1,1,0,0
738,1,1,1,1,1
739,0,0,0,NA,NA
740,0,0,0,NA,NA
741,0,0,0,NA,NA
742,1,1,0,NA,NA
743,0,0,0,NA,NA
744,0,0,0,NA,NA
745,1,1,1,1,NA
746,1,1,1,1,NA
747,0,0,0,0,0
748,1,1,1,1,0
749,1,0,NA,NA,NA
750,1,0,NA,NA,NA
751,0,0,NA,NA,NA
752,1,1,0,1,0
753,0,0,0,0,0
754,1,0,1,0,0
755,1,1,1,0,1
756,0,0,0,NA,NA
757,0,0,0,0,NA
758,0,0,0,NA,NA
759,0,0,0,NA,NA
760,1,0,NA,NA,NA
761,1,1,1,1,NA
762,1,1,1,0,NA
763,0,0,0,NA,NA
764,0,0,0,NA,NA
765,0,0,0,NA,NA
766,0,0,0,NA,NA
767,1,1,1,0,0
768,0,0,0,0,0
769,0,0,NA,NA,NA
770,0,0,NA,NA,NA
771,0,0,NA,NA,NA
772,1,1,1,1,0
773,1,1,1,1,1
774,0,0,0,0,0
775,1,1,1,1,0
776,0,0,0,NA,NA
777,1,0,0,NA,NA
778,0,0,0,NA,NA
779,0,0,0,NA,NA
780,0,0,0,NA,NA
781,0,0,0,NA,NA
782,1,1,1,1,NA
783,0,0,0,0,0
784,1,1,0,0,0
785,1,1,1,0,0
786,1,0,0,0,0
787,1,1,1,1,0
788,0,0,0,0,NA
789,0,0,0,0,NA
790,0,0,0,0,NA
791,0,0,0,0,NA
792,1,1,1,0,NA
793,0,0,0,0,NA
794,1,1,1,1,1
795,1,1,1,0,1
796,1,0,0,0,0
797,0,0,0,0,0
798,0,0,0,0,NA
799,1,0,0,0,0
800,1,0,1,0,0
801,0,0,0,0,0
802,0,0,0,0,0
803,1,0,1,1,0
804,0,0,0,0,0
805,0,0,0,0,NA
806,0,0,0,0,NA
807,0,0,0,0,NA
808,0,0,0,0,NA
809,0,0,0,0,NA
810,0,0,0,0,NA
811,0,0,0,0,0
812,1,1,0,0,0
813,0,0,0,0,0
814,0,0,0,0,0
815,0,0,0,0,0
816,0,0,0,0,0
817,1,0,1,0,0
818,1,1,1,0,0
819,1,1,1,1,0
820,0,0,1,1,0
821,0,0,0,0,NA
822,0,0,0,0,NA
823,1,1,0,1,1
824,0,0,0,0,0
825,0,0,0,0,NA
826,0,0,0,0,NA
827,1,1,1,1,0
828,1,1,1,0,0
829,1,1,1,1,0
830,0,0,1,1,0
831,0,0,0,0,NA
832,1,0,0,0,NA
833,1,1,1,1,0
834,1,1,1,1,1
835,0,0,NA,NA,NA
836,0,0,0,0,0
837,1,1,0,0,1
