"","ID","Shrub","Grassland","For_Evergr","For_DecidMixed","cell_id","cc_cfo_mn","cbh_cfo_mn","fire1yr_high_prop","fire2_5yr_high_prop","fire6_10yr_high_prop","fire11_35yr_high_prop","fire1yr_lowmod_prop","fire2_5yr_lowmod_prop","fire6_10yr_lowmod_prop","fire11_35yr_lowmod_prop","Latitude","elev.resid","NaiveOcc"
"1098","C4839_U2",0.734,0,0.266,0,4839,31.1039096801171,2.02341626594188,0,0,0.440298507462687,0,0,0,0.547761194029851,0,37.85600388,-608.577929322871,"Unoccupied"
"1099","C4844_U1",0.723,0.009,0.239,0,4844,14.9575047100691,2.95017793594306,0,0,0.478454680534918,0.312035661218425,0,0,0.521545319465082,0.687964338781575,37.85572828,398.965100657059,"Occupied"
"1100","C4844_U2",0.698,0.008,0.294,0,4844,31.2314930991217,3.45294855708908,0,0,0.403560830860534,0.0326409495548961,0,0,0.596439169139466,0.774480712166172,37.84720186,343.987478708906,"Occupied"
"1101","C4846_U1",0,0,0.943,0,4846,51.9974905897114,3.1482643245504,0,0,0,0,0,0,0,0,37.84744542,714.096057313877,"Unoccupied"
"1102","C4846_U2",0.323,0,0.588,0,4846,32.3873741610738,2.66421979865772,0,0,0,0,0,0,0,0,37.84273517,723.568011195453,"Occupied"
"1103","C4847_U1",0.143,0,0.791,0,4847,35.6887819171201,3.28045207199665,0,0,0,0,0.0488888888888889,0,0,0,37.84888261,823.778326261388,"Unoccupied"
"1104","C4847_U2",0.191,0,0.758,0,4847,24.4816830646849,2.91521875654176,0,0,0,0,0.0298507462686567,0,0,0,37.85038213,781.596955867278,"Occupied"
"1105","C4848_U1",0.026,0,0.878,0,4848,45.7921207041073,3.052179379715,0.0328358208955224,0,0,0,0.935820895522388,0,0,0.329850746268657,37.84649597,693.275884085375,"Occupied"
"1106","C4848_U2",0,0,0.93,0,4848,42.499058774315,3.60510353482535,0.207772795216741,0,0,0,0.790732436472347,0,0,0.635276532137519,37.83880809,605.970764746192,"Occupied"
"1107","C4873_U1",0.987,0.013,0,0,4873,28.3030556718292,1.09941398074508,0,0,0.955290611028316,0,0,0,0.0447093889716841,0,37.83363737,-337.522778613126,"Occupied"
"1108","C4873_U2",0.938,0.013,0.049,0,4873,27.5055427734784,1.25475841874085,0,0,0.855029585798817,0,0,0,0.144970414201183,0.0029585798816568,37.8357013,-358.314425478927,"Occupied"
"1109","C4884_U1",0.368,0.057,0.442,0,4884,27.2534591194969,1.4643605870021,0,0,0,0,0,0,0,0,37.81662046,805.550089655516,"Occupied"
"1110","C4884_U2",0.5,0.068,0.301,0,4884,28.2846654080134,1.65848542059996,0,0,0,0,0,0,0,0,37.82701805,793.751484251836,"Occupied"
"1111","C4894_U1",0.891,0,0.109,0,4894,37.1411838527505,3.12277766157708,0,0,0.466076696165192,0,0,0,0.533923303834808,0,37.82147282,-148.436352413721,"Occupied"
"1112","C4894_U2",0.948,0.004,0.049,0,4894,34.0936846507737,2.24424926808867,0,0,0.722551928783383,0,0,0,0.277448071216617,0,37.82270467,-151.591849645015,"Occupied"
"1113","C4897_U1",0.301,0.019,0.62,0,4897,35.2264545835077,2.49141900376727,0,0,0,0,0,0,0,0,37.82185718,533.647379075207,"Occupied"
"1114","C4897_U2",0.047,0.013,0.884,0,4897,41.9684364548495,3.73829431438127,0,0,0.0163447251114413,0,0,0,0.163447251114413,0,37.81359543,485.860676863883,"Occupied"
"1115","C4899_U1",0.235,0.011,0.754,0,4899,27.357590966123,3.00669176076955,0,0,0.0238095238095238,0,0.34375,0,0.974702380952381,0.0386904761904762,37.82199513,585.846250824432,"Unoccupied"
"1116","C4899_U2",0.36,0.157,0.483,0,4899,23.5484005854067,2.94355007317583,0,0,0.255605381165919,0,0.12406576980568,0,0.721973094170404,0,37.81570101,559.670521788404,"Occupied"
"1117","C4900_U1",0.095,0,0.905,0,4900,28.4699602260833,2.99602260833159,0,0,0,0.0163204747774481,0,0,0,0.78486646884273,37.81970944,627.966311363312,"Occupied"
"1118","C4900_U2",0.013,0.021,0.891,0,4900,35.2225010455876,3.92158092848181,0,0,0,0,0,0.0863095238095238,0,0.379464285714286,37.81862883,771.997277806339,"Occupied"
"1119","C4901_U1",0.227,0,0.718,0,4901,32.4948691099476,4.14031413612565,0,0,0,0,0,0,0,0,37.80892591,821.521910038347,"Occupied"
"1120","C4901_U2",0.134,0.011,0.803,0,4901,46.2074445838561,2.76997072354663,0,0,0,0,0,0,0,0,37.81264798,847.343327375464,"Occupied"
"1121","C4913_U1",0.261,0.006,0.732,0,4913,43.755016722408,4.21112040133779,0,0,0.155786350148368,0,0,0,0.835311572700297,0.609792284866469,37.81469546,121.314719574318,"Occupied"
"1122","C4913_U2",0.129,0,0.871,0,4913,42.3850658857979,4.87847730600293,0,0,0.0492537313432836,0.0253731343283582,0,0,0.949253731343284,0.813432835820896,37.80852497,102.761038794954,"Occupied"
"1123","C4922_U1",0.011,0,0.97,0.019,4922,52.5891699770019,2.04014217018608,0,0,0,0,0,0,0,0,37.8049981,-548.421291052891,"Occupied"
"1124","C4922_U2",0.032,0,0.968,0,4922,57.2310748640736,1.67126725219573,0,0,0,0,0.0594353640416048,0,0,0,37.80972417,-585.568411178782,"Unoccupied"
"1125","C4926_U1",0.517,0.013,0.47,0,4926,56.6743359129889,3.3392595691278,0,0,0.435555555555556,0.0162962962962963,0,0,0.564444444444444,0.49037037037037,37.80654907,-609.785972997876,"Unoccupied"
"1126","C4926_U2",0.394,0,0.606,0,4926,57.6676427525622,3.1112737920937,0,0,0.278761061946903,0.00147492625368732,0,0,0.721238938053097,0.343657817109145,37.81245401,-715.51195174318,"Unoccupied"
"1127","C4927_U1",0.705,0.004,0.291,0,4927,46.2705980761188,2.79715600167294,0,0,0.531851851851852,0.10962962962963,0,0,0.468148148148148,0.601481481481482,37.80181433,-416.340602514751,"Unoccupied"
"1128","C4927_U2",0.492,0.017,0.492,0,4927,46.7028439983271,2.9289000418235,0,0,0.330860534124629,0.0237388724035608,0,0,0.669139465875371,0.369436201780415,37.80436246,-413.015855573001,"Unoccupied"
"1129","C4928_U1",0.493,0.008,0.433,0,4928,40.8726207906296,3.15896256013386,0,0,0.32383808095952,0,0,0,0.67616191904048,0.00299850074962519,37.80922417,-472.340936799548,"Unoccupied"
"1130","C4928_U2",0.849,0,0.121,0,4928,38.8124215809285,2.87745713090757,0,0,0.678624813153961,0.0523168908819133,0,0,0.321375186846039,0.446935724962631,37.80475475,-501.499738630109,"Occupied"
"1131","C4954_U1",0.036,0.007,0.957,0,4954,35.6652019250889,4.08432726511823,0,0,0,0,0,0,0.170118343195266,0,37.78852353,695.367326671938,"Unoccupied"
"1132","C4954_U2",0.111,0.149,0.74,0,4954,35.4881625811858,3.37335009428033,0,0,0.103293413173653,0,0,0,0.368263473053892,0,37.78181137,623.27834684266,"Occupied"
"1133","C4955_U1",0.03,0,0.97,0,4955,38.7828451882845,3.76150627615063,0,0,0,0,0,0,0,0,37.79104154,710.895854639189,"Unoccupied"
"1134","C4955_U2",0.157,0.015,0.828,0,4955,34.5189608212864,3.23255813953488,0,0,0,0,0,0,0,0.0419161676646707,37.78689145,589.524530728424,"Unoccupied"
"1135","C4958_U1",0.451,0,0.532,0.017,4958,49.6191074795726,1.40351979886864,0,0,0,0.220238095238095,0,0.00297619047619048,0,0.732142857142857,37.78537755,-751.34855852098,"Unoccupied"
"1136","C4958_U2",0.378,0,0.622,0,4958,52.6714763697198,1.6969887076537,0,0,0,0.239520958083832,0,0,0,0.760479041916168,37.78463961,-777.86506251898,"Occupied"
"1137","C4964_U1",0.152,0,0.848,0,4964,59.6024272860431,4.63820883029923,0,0,0.0269058295964126,0,0,0,0.973094170403587,0.0239162929745889,37.79151409,-315.81382428045,"Occupied"
"1138","C4964_U2",0.904,0.006,0.091,0,4964,47.7350230414747,2.98324256388773,0,0,0.607988165680473,0,0,0,0.392011834319527,0.260355029585799,37.78637161,-275.632811211038,"Occupied"
